소분류코드,소분류명,중분류코드,category,카테고리한글,예외처리
Q10206,이비인후과 의원,Q102,medical,의료,
Q10207,산부인과 의원,Q102,medical,의료,
Q10208,성형외과 의원,Q102,medical,의료,
Q10209,기타 의원,Q102,medical,의료,
Q10210,치과의원,Q102,medical,의료,
Q10211,한의원,Q102,medical,의료,
Q10212,방사선 진단/병리 검사 의원,Q102,medical,의료,
Q10402,유사 의료업,Q104,medical,의료,
R10202,독서실/스터디 카페,R102,leisure,여가,
R10306,종합 스포츠시설,R103,leisure,여가,
R10307,헬스장,R103,leisure,여가,
R10308,수영장,R103,leisure,여가,
R10309,볼링장,R103,leisure,여가,
R10310,당구장,R103,leisure,여가,
R10311,골프 연습장,R103,leisure,여가,
R10312,테니스장,R103,leisure,여가,
R10313,탁구장,R103,leisure,여가,
R10314,기타 스포츠시설 운영업,R103,leisure,여가,
R10316,스쿼시/라켓볼장,R103,leisure,여가,
R10402,비디오방,R104,leisure,여가,
R10404,전자 게임장,R104,leisure,여가,
R10405,기타 오락장,R104,leisure,여가,
R10406,PC방,R104,leisure,여가,
R10407,노래방,R104,leisure,여가,
R10408,낚시터 운영업,R104,leisure,여가,
R10409,수상/해양 레저업,R104,leisure,여가,
R10410,복권 발행/판매업,R104,leisure,여가,
R10414,바둑/장기/체스 경기 운영업,R104,leisure,여가,
R10499,기타 오락관련 서비스업,R104,leisure,여가,
S20101,컴퓨터/노트북/프린터 수리업,S201,living,생활·고정,
S20201,핸드폰/통신장비 수리업,S202,living,생활·고정,
S20301,자동차 정비소,S203,transport,교통,
S20302,자동차 세차장,S203,transport,교통,
S20401,모터사이클 수리업,S204,transport,교통,
S20501,가전제품 수리업,S205,living,생활·고정,
S20601,의류/이불 수선업,S206,living,생활·고정,
S20602,가죽/가방/신발 수선업,S206,living,생활·고정,
S20603,시계/귀금속/악기 수리업,S206,living,생활·고정,
S20699,그 외 기타 개인/가정용품 수리업,S206,living,생활·고정,
S20701,미용실,S207,leisure,여가,
S20702,피부 관리실,S207,leisure,여가,
S20703,네일숍,S207,leisure,여가,
S20801,목욕탕/사우나,S208,leisure,여가,
S20802,마사지/안마,S208,leisure,여가,
S20803,체형/비만 관리,S208,leisure,여가,
S20901,세탁소,S209,living,생활·고정,
S20902,셀프 빨래방,S209,living,생활·고정,
S21001,장례식장,S210,other,기타,
S21002,화장터/묘지/납골당,S210,other,기타,
S21101,예식장업,S211,other,기타,
S21105,결혼 상담 서비스업,S211,other,기타,
